indicatorId,geoUnit,year,value,qualifier,magnitude
FRESP.THC,DNK,2017,35.73604,,
FRESP.THC,DNK,2019,35.31743,,
FRESP.THC,DOM,2020,44.55446,,
FRESP.THC,DOM,2021,44.46809,,
FRESP.THC,DOM,2022,44.3128,,
FRESP.THC,DZA,2017,47.14272,,
FRESP.THC,ECU,2012,42.20019,,
FRESP.THC,ECU,2013,41.38113,,
FRESP.THC,ECU,2014,41.08677,,
FRESP.THC,EGY,2012,41.5957,,
FRESP.THC,EGY,2013,42.76893,,
FRESP.THC,EGY,2014,42.21531,,
FRESP.THC,EGY,2015,43.4116,,
FRESP.THC,EGY,2016,44.11705,,
FRESP.THC,EGY,2017,45.25527,,
FRESP.THC,EGY,2018,45.58202,,
FRESP.THC,EGY,2019,41.32166,,
FRESP.THC,EGY,2020,41.92059,,
FRESP.THC,EGY,2021,41.95989,,
FRESP.THC,EGY,2022,41.58851,,
FRESP.THC,ESP,2012,38.80544,,
FRESP.THC,ESP,2013,39.33643,,
FRESP.THC,ESP,2014,39.59184,,
FRESP.THC,ESP,2015,40.03184,,
FRESP.THC,ESP,2016,40.15176,,
FRESP.THC,ESP,2017,40.48703,,
FRESP.THC,ESP,2018,40.76568,,
FRESP.THC,ESP,2019,41.33537,,
FRESP.THC,ESP,2020,41.46945,,
FRESP.THC,ESP,2021,41.5968,,
FRESP.THC,ESP,2022,41.57601,,
FRESP.THC,EST,2012,43.98742,,
FRESP.THC,EST,2013,44.41783,,
FRESP.THC,EST,2014,44.02279,,
FRESP.THC,EST,2015,43.87968,,
FRESP.THC,EST,2016,43.55004,,
FRESP.THC,EST,2017,42.19771,,
FRESP.THC,EST,2018,43.93627,,
FRESP.THC,EST,2019,42.44893,,
FRESP.THC,EST,2020,42.47604,,
FRESP.THC,EST,2021,41.6805,,
FRESP.THC,EST,2022,41.28815,,
FRESP.THC,ETH,2013,13.29522,,
FRESP.THC,ETH,2017,11.51061,,
FRESP.THC,FIN,2012,32.24817,,
FRESP.THC,FIN,2013,31.48977,,
FRESP.THC,FIN,2014,32.09583,,
FRESP.THC,FIN,2015,32.29077,,
FRESP.THC,FIN,2016,32.51786,,
FRESP.THC,FIN,2017,33.1517,,
FRESP.THC,FIN,2018,33.70387,,
FRESP.THC,FIN,2019,33.74449,,
